,ra,dec,r_mag,gr_mag,v_helio
46,162.56558333333336,51.03944444444444,15.31,0.65,-24.4
47,162.28979166666667,50.914722222222224,15.5,0.67,16.7
48,162.28108333333333,51.068333333333335,16.27,0.85,6.4
49,162.16120833333332,51.007222222222225,16.95,0.52,-119.7
50,162.4788333333333,51.01111111111111,17.38,0.65,-53.8
51,162.36333333333332,50.99055555555556,18.57,0.55,155.1
52,162.18945833333333,50.97777777777778,19.17,0.57,-171.9
53,162.19958333333335,50.95472222222222,19.33,0.4,14.8
54,162.3045833333333,51.10722222222223,19.5,0.86,-24.5
55,162.50887500000002,51.03444444444444,19.62,1.26,-29.5
56,162.33962499999998,51.14055555555556,20.03,1.42,13.2
57,162.57925,50.98833333333334,20.03,0.41,-249.3
58,162.5570416666667,51.001666666666665,20.04,1.12,-205.0
59,162.30375,51.10472222222222,20.17,0.47,14.3
60,162.36866666666666,51.02583333333333,20.27,1.41,-23.3
61,162.232375,51.02194444444444,20.32,1.14,-157.8
62,162.52370833333336,51.031666666666666,20.33,1.4,-10.7
63,162.483625,51.0,20.61,1.4,6.2
64,162.34179166666667,50.984722222222224,20.73,0.32,-36.3
65,162.33341666666666,51.08277777777778,20.83,1.35,60.7
66,162.39404166666665,51.04416666666666,20.85,0.44,-52.8
67,162.30558333333332,51.074444444444445,20.85,1.39,-21.9
68,162.40479166666665,51.04361111111111,20.92,1.03,-69.5
69,162.53975,50.989444444444445,21.06,1.33,-205.3
70,162.54791666666668,51.01972222222222,21.21,0.5,39.9
71,162.41429166666666,51.034166666666664,21.28,1.19,-69.1
72,162.3792083333333,51.02583333333333,21.34,0.41,-78.9
73,162.47395833333331,51.011944444444445,21.35,1.37,-52.2
74,162.26558333333332,51.010555555555555,21.38,1.32,-49.0
75,162.30783333333332,51.086666666666666,21.47,1.4,-14.7
76,162.26420833333333,51.013333333333335,21.53,0.14,7.4
77,162.33854166666666,51.163333333333334,21.79,1.33,-100.1
78,162.47045833333334,51.053888888888885,21.8,1.3,-37.9
79,162.20308333333332,51.05444444444444,21.82,0.46,65.9
80,162.28020833333335,51.03666666666666,21.87,1.44,50.6
81,162.37579166666666,51.12305555555555,21.9,1.34,-59.7
82,162.27504166666665,51.0475,22.11,0.58,68.1
83,162.314,51.018055555555556,22.15,1.5,-41.4
84,162.30845833333333,51.14555555555555,22.22,1.3,-4.9
85,162.31441666666666,51.097500000000004,22.23,1.35,-73.4
86,162.33633333333333,51.028055555555554,22.23,0.25,8.7
87,162.415,51.04055555555556,22.25,1.03,87.3
88,162.35179166666666,51.153888888888886,22.38,1.4,50.4
89,162.56129166666668,50.99611111111111,22.42,0.82,-32.9
90,162.35258333333334,51.132222222222225,22.56,1.02,32.9
91,162.228625,51.00194444444445,22.57,1.49,-54.4
92,162.37529166666667,51.13861111111111,22.61,1.25,-65.2
93,162.56108333333333,51.03777777777778,22.61,1.39,19.8
94,162.53270833333335,51.03527777777778,22.77,1.29,-200.9
95,162.27208333333334,51.00666666666667,22.89,1.2,124.3
96,162.23945833333335,50.965,23.05,1.15,-10.0
97,162.40970833333333,51.02722222222222,23.08,0.44,5.7
