,ra,dec,r_mag,gr_mag,v_helio
1,162.32524999999998,51.03777777777778,18.13,0.57,-5.4
2,162.46879166666668,51.06166666666666,18.14,0.58,-18.5
3a,162.42862499999998,51.07277777777778,18.19,0.65,-13.3
4a,162.30166666666665,51.09527777777778,18.21,0.63,-7.4
5,162.28245833333332,50.947222222222216,18.35,-0.04,-11.1
6a,162.45220833333332,51.00888888888889,19.05,0.39,-2.1
7,162.30470833333334,51.04222222222222,19.81,-0.32,-18.2
8,162.32254166666667,51.05694444444444,20.07,0.44,-9.4
9,162.292125,51.05,20.5,0.42,-13.1
10a,162.31645833333334,51.04055555555556,20.54,0.45,-8.9
11a,162.35404166666666,51.156388888888884,20.6,0.44,-4.9
12,162.33808333333334,51.058055555555555,20.82,0.36,-5.6
13,162.24208333333334,51.04805555555556,20.86,0.46,-3.8
14,162.4200833333333,51.06083333333333,20.94,0.37,-18.9
15,162.37891666666667,51.06111111111111,20.96,0.34,-16.4
16,162.31979166666667,51.0675,21.0,0.34,-7.6
17,162.511875,51.04222222222222,21.27,0.43,-15.8
18,162.580375,51.00333333333333,21.39,0.34,-24.2
19,162.238,51.04194444444444,21.42,0.26,-15.3
20,162.36691666666667,51.030833333333334,21.45,0.22,-21.2
21,162.36691666666667,51.030833333333334,21.45,0.22,-12.9
22,162.3022916666667,51.05138888888889,21.49,0.25,-15.9
23,162.359625,51.05444444444444,21.49,0.22,-10.5
24,162.35441666666668,51.047777777777775,21.54,0.25,-13.7
25,162.28195833333334,51.029444444444444,21.56,0.23,-19.1
26,162.18504166666668,51.035,21.57,0.28,-18.4
27,162.46466666666666,51.03111111111111,21.58,0.36,-16.0
28,162.394875,51.074444444444445,21.6,0.27,-18.9
29,162.291375,51.01555555555556,21.63,0.26,-4.8
30,162.373875,51.04944444444444,21.64,0.21,-23.5
31,162.47787499999998,51.0575,21.66,0.27,-8.0
32,162.30929166666667,51.019444444444446,21.66,0.23,-10.5
33,162.36516666666665,51.05888888888889,21.75,0.22,-3.6
34,162.27154166666668,51.02833333333333,21.8,0.22,-14.8
35,162.343875,51.09638888888889,22.04,0.27,-23.7
36,162.29991666666666,51.051111111111105,22.13,0.28,-19.3
37,162.26170833333333,50.99444444444445,22.2,0.27,-19.7
38,162.41954166666665,51.07194444444445,22.26,0.24,-17.1
39,162.31220833333333,51.04805555555556,22.44,0.28,-10.0
40,162.30599999999998,51.04527777777778,22.48,0.36,-5.6
41,162.29545833333333,51.03722222222222,22.61,0.29,-19.7
42,162.44841666666665,51.034166666666664,22.62,0.28,-18.1
43,162.22512500000002,51.02722222222222,22.63,0.31,-16.1
44,162.41758333333334,51.051111111111105,22.89,0.29,-9.5
45,162.29566666666668,51.025555555555556,22.93,0.32,-16.9
