,RA,DEC,v,v_err,rmag_o,rmag_err,gmag_o,gmag_err,ew_feh,ew_feh_err,gaia_source_id,flag_var,prob_member,sample
503,162.01180576,50.9156247,-21.38026108288907,1.1020053656602242,16.067156616939794,0.0201318156160839,16.721195434954524,0.0201318156160839,-1.3469976799654542,0.1736256878644656,-999,-999,0.5762243449942189,1
3,162.46891667,51.06180556,-19.512028468536972,0.6939864341468686,18.04528200317691,0.0201099477871027,18.631799607164076,0.0201099477871027,-2.55703462956419,0.1323827739947831,835977180433181056,0,0.6780282181088688,1
54,162.32520833,51.038,-6.490194856944519,0.7982622992788153,18.05681626425327,0.020120636172845,18.63672460458606,0.0201318156160839,-2.3166334596937594,0.1275245473920556,835971820314006528,1,0.7525384523244112,1
310,162.2825,50.94730556,-11.86908048832452,1.3745335112968504,18.29442695968621,0.0202543822418754,18.21827291311409,0.0202237484161566,-99.0,-99.0,835970136686823040,-999,0.5786109648078324,1
231,162.30470833,51.04230556,-24.45692744774021,3.0282802223103817,19.790440585915068,0.0203767023828685,19.42929592022406,0.0203039405042469,-99.0,-99.0,836722438863176448,1,0.6571179487788431,1
22,162.322625,51.05719444,-11.869639713358684,1.15742601501062,19.99743096257581,0.0202869416127715,20.444557364872416,0.0202704218012354,-2.606877528204405,0.1922404090608117,836722473222915968,0,0.8098531581698892,1
23,162.36608333,51.06286111,-13.415813523867625,1.8185735989688612,20.282445008727635,0.0203960780543711,20.69290269808807,0.0203767023828685,-2.622696208910387,0.2208296748410486,835977725893619712,0,0.780915550192878,1
62,162.17570833,51.03361111,-6.482545148351619,1.3291830863755674,20.36350746708952,0.0204570281321603,20.59520900466929,0.0203214172734088,,,836722889836066048,1,0.5,1
24,162.28370833,51.04083333,-9.97274216715438,0.9659124391931638,20.429085776571387,0.0204570281321603,20.905011062461664,0.0203960780543711,-1.7838751746761932,0.1755080715813054,836722335783961216,0,0.8962090357045073,1
25,162.29220833,51.05008333,-11.458974064263714,1.2904395280073662,20.43368759995491,0.0204570281321603,20.85087328964784,0.0203767023828685,-2.719420226622697,0.1922701459806665,836722404504886912,0,0.7855093009552376,1
26,162.31658333,51.04069444,-9.50255713840482,2.235423606959966,20.471216553263474,0.0205,20.925336291338752,0.0204159251566026,-2.36481110836072,0.2346497409496458,835971816018616320,0,0.6222632440670759,1
29,162.33816667,51.05838889,-12.894144919587664,1.7972933277894896,20.75000104036494,0.0205679362114919,21.12010667178788,0.0205,-2.84780249778471,0.3009039840311367,835971854673199616,0,0.701640031832798,1
159,162.394,51.04438889,-64.29565402402451,1.962655804450628,20.76604017967016,0.0206903359083413,21.22403322175602,0.0205915031020078,-999.0,-999.0,835977416655970816,0,0.0011282149828331,0
27,162.24220833,51.04830556,-6.736301598278966,1.7690753654190774,20.794646257158306,0.0211243934824174,21.32126366220673,0.021653868014745,-999.0,-999.0,836722198345008512,0,0.6184638095268133,1
28,162.420125,51.06119444,-15.908516658023071,1.7497054567301715,20.89126647794575,0.0245863783424887,21.197597875405325,0.0232725159791544,-999.0,-999.0,835977588454665856,0,0.8955317705525601,1
30,162.379,51.06138889,-15.14668254848545,2.8809198789100323,20.90264964512944,0.0208240245870004,21.22705755460669,0.0206903359083413,-999.0,-999.0,835977691533881088,0,0.9364925378597608,1
31,162.31983333,51.06766667,-17.507683649085003,2.139985763516016,20.915235892108555,0.0207692079771954,21.276097739490844,0.0206155281280883,-999.0,-999.0,836722546237412608,0,0.9189882642050622,1
32,162.40341667,51.06425,-10.791556903273095,3.050318824877973,20.998304453524696,0.0209095671882514,21.21612320879473,0.0206903359083413,-999.0,-999.0,835977588454666368,0,0.7979804609863734,1
34,162.51204167,51.04227778,-12.99812305987787,2.4719579539731003,21.184347455164225,0.021189620100417,21.598141570942683,0.0208520982157671,-999.0,-999.0,-999,0,0.6178747209901784,1
69,162.37920833,51.02611111,-73.13454810651092,2.7914025927680908,21.270497523271825,0.0212565284089382,21.69864431572396,0.021029740844813,-999.0,-999.0,-999,-999,0.0001026288369836,0
163,162.242,51.0895,-98.12645017179588,3.0411430466383864,21.33045555973625,0.024298971171636,21.85924887826478,0.0286400069832393,-999.0,-999.0,-999,0,8.520075224804325e-09,0
172,162.36691667,51.05819444,-8.430573061144182,6.409536995759233,21.356246977857936,0.0213600093632938,21.543896583315384,0.0209990475974507,-999.0,-999.0,-999,0,0.9127150839896464,1
35,162.23808333,51.04205556,-12.675282485674568,3.644419696728308,21.39512131950804,0.021653868014745,21.630739881181796,0.0210608641798004,-999.0,-999.0,-999,0,0.9967932453729964,1
170,162.36691667,51.031,-23.41094473057627,5.626650796484565,21.40465297324898,0.0216157350094786,21.613137187730423,0.0212228650280776,-999.0,-999.0,-999,0,0.7844695621839322,1
37,162.35970833,51.05455556,-8.05389198767826,2.7539525575298587,21.4250230602822,0.0216923949807299,21.65398833975304,0.020968786326347,-999.0,-999.0,-999,0,0.9467020601925944,1
73,162.30229167,51.0515,-6.034724705500938,4.134818095794584,21.438048959616427,0.0216157350094786,21.67941557641298,0.0212906082581029,-999.0,-999.0,-999,0,0.8929859536263378,1
70,162.46470833,51.03119444,-21.26441244264028,2.8464568225128417,21.48167850949069,0.0217313138121007,21.865576192888373,0.021189620100417,-999.0,-999.0,-999,0,0.4591030906572363,0
166,162.35441667,51.04788889,0.4983878420292341,3.955800471230903,21.48422811959334,0.0214310522373494,21.72915214192846,0.0210608641798004,-999.0,-999.0,-999,0,0.6395679031247402,1
246,162.28191667,51.0295,-8.577548844871592,5.545614196259302,21.504799533975,0.021653868014745,21.732449974324723,0.0210608641798004,-999.0,-999.0,-999,0,0.9090892943146326,1
38,162.39491667,51.07458333,-18.4175362749393,4.46521498758516,21.511664316021943,0.0219317121994613,21.798223550656328,0.0213953265925061,-999.0,-999.0,-999,0,0.7948029204607076,1
43,162.18508333,51.03502778,-8.09274205873067,3.4045685961591263,21.52084658819169,0.0217706224072716,21.76977835589108,0.0210924156985396,-999.0,-999.0,-999,1,0.9003602575261536,1
74,162.26420833,51.0135,-3.255432347976966,7.064329862098845,21.5442135104849,0.0218103186588366,21.64918419027431,0.021029740844813,-999.0,-999.0,-999,-999,0.6575838279326347,1
75,162.37391667,51.0495,-19.65228399422555,4.407172608279948,21.585950298501096,0.0219317121994613,21.78401746717821,0.021189620100417,-999.0,-999.0,-999,0,0.8792295847846049,1
76,162.29141667,51.01561111,-6.233448205826555,6.016097333070544,21.624558002229847,0.0223161376586541,21.820170932595637,0.0213953265925061,-999.0,-999.0,-999,0,0.8257229392441774,1
42,162.29675,51.07508333,-9.776163386373549,3.267889028596196,21.637562624283017,0.0223161376586541,21.865098275594924,0.0213251025788857,-999.0,-999.0,-999,0,0.9086747597127705,1
40,162.447375,51.05963889,-7.807368727225478,6.165120612893846,21.65823525098242,0.0221415898254845,21.932581321720917,0.0213953265925061,-999.0,-999.0,-999,0,0.840750585809601,1
169,162.36520833,51.05911111,-11.655291136807085,4.758829516769642,21.67629955554328,0.0220565183109211,21.900721658228733,0.0214671842587704,-999.0,-999.0,-999,0,0.9847615634464622,1
41,162.35433333,51.04033333,-14.408938049627343,4.9394669662639865,21.702045357369872,0.0222281353244036,21.93222797438536,0.0213953265925061,-999.0,-999.0,-999,0,0.9814337179586644,1
44,162.32525,51.05469444,-3.676742080436901,10.089796551838358,21.71513201848732,0.0225424044857685,21.841914482411703,0.021189620100417,-999.0,-999.0,-999,-999,0.7541989316536205,1
82,162.20308333,51.05469444,63.33152398359183,5.228686111089904,21.750610335613768,0.0220145406493072,22.22283037544128,0.0219317121994613,-999.0,-999.0,-999,-999,9.675659074652326e-07,0
77,162.2715,51.02838889,-9.53204689085564,4.678452409596029,21.770675620136032,0.0226823720099993,21.940981021523605,0.0214671842587704,-999.0,-999.0,-999,-999,0.9318584232754316,1
45,162.34008333,51.04591667,-8.791689782341745,6.319790072121734,21.79820444616528,0.0225424044857685,22.021373927793448,0.0217706224072716,-999.0,-999.0,-999,1,0.8981377816420212,1
184,162.32329167,51.04538889,-18.41713003340505,5.2824189678182325,21.817923517681493,0.0227774010808959,22.04563403142989,0.021540659228538,-999.0,-999.0,-999,0,0.8968046693458074,1
47,162.4125,51.08261111,-11.908913828205012,11.863694605093732,21.83206455385949,0.0234795655837155,22.094560386950803,0.022922478051031,-999.0,-999.0,-999,-999,0.9266018751795916,1
416,162.32102792,51.07297136,-21.504971328470894,13.57036542044894,21.916476794693175,0.0228737841206915,22.209450680924224,0.0220988687493274,-999.0,-999.0,-999,-999,0.7267655205575905,1
203,162.3395,51.04288889,-6.477360299482362,10.909486148307591,21.99997057465557,0.0234795655837155,22.2093307057703,0.0219729379009726,-999.0,-999.0,-999,-999,0.9369164912759262,1
258,162.3075,51.00630556,24.234199280769705,7.34315775869867,22.08964516832381,0.0233754144348287,22.368047067722877,0.0223606797749978,-999.0,-999.0,-999,-999,0.0676304267289568,0
89,162.316875,51.04988889,-13.635693615931336,7.033716520089951,22.11009112696636,0.0236381048309715,22.31362586387028,0.0223606797749978,-999.0,-999.0,-999,-999,0.9884308102659278,1
50,162.36283333,51.05836111,-9.938217923135976,14.212355513055376,22.117707639417,0.0241859463325295,22.334030677175768,0.0226353705514179,-999.0,-999.0,-999,-999,0.9813615652180367,1
51,162.348625,51.05108333,7.510336516101601,4.742227594090991,22.14104539545217,0.0240185345098321,22.406667059965955,0.0228737841206915,-999.0,-999.0,-999,-999,0.3765519377543032,0
319,162.3155,51.02261111,-29.344179182153667,5.03041015074827,22.14179678920299,0.0241859463325295,22.47756093222291,0.0229715040865851,-999.0,-999.0,-999,-999,0.4054931921461143,0
84,162.26170833,50.9945,-13.21476710186886,11.117624169272208,22.16354377615009,0.0239633052812002,22.41643295434901,0.0227774010808959,-999.0,-999.0,-999,-999,0.9451804902259268,1
192,162.450625,51.03011111,-15.699433680723487,5.599162110049841,22.249743651443843,0.0247620677650312,22.565661556469276,0.0230705439901186,-999.0,-999.0,-999,-999,0.8087608374691447,1
451,162.48126625,51.06372619,-7.743655098774694,5.974903643248551,22.27083491600276,0.0251205095489721,22.53958775387075,0.0238537208837531,-999.0,-999.0,-999,-999,0.8468086180079873,1
96,162.31220833,51.04830556,-0.7469950771444263,5.3259579083450985,22.354505701914626,0.0256124969497313,22.609640508314552,0.0236915596785015,-999.0,-999.0,-999,0,0.7251939706475727,1
280,162.191875,51.0,-56.49007297558288,14.63947480581018,22.36442406332828,0.025,22.624918491180697,0.0231205536265894,-999.0,-999.0,-999,-999,0.1029167230419076,0
262,162.32879167,51.0815,-28.433110778307224,13.101888779396688,22.42978506789849,0.0256124969497313,22.65622196361295,0.0237453153274493,-999.0,-999.0,-999,-999,0.6771514818650681,1
271,162.306,51.04538889,-2.5565661315484083,6.820187872832751,22.446049156359784,0.0259915370842126,22.75058408312268,0.0238537208837531,-999.0,-999.0,-999,0,0.7130159128189388,1
98,162.38641667,51.07419444,-17.768189713710075,7.542778873471134,22.44840207586565,0.0262488094968133,22.756727952156144,0.0241298570240273,-999.0,-999.0,-999,-999,0.8343487805276109,1
90,162.44020833,51.03580556,-23.5896282542398,6.935134083851827,22.500765494415568,0.0274488615428764,22.810809634177783,0.0244131112314674,-999.0,-999.0,-999,-999,0.741640757979003,1
91,162.448375,51.03438889,-16.273737827287594,10.244422933647604,22.554725697332945,0.0282136491790764,22.847582630680133,0.0245283509433471,-999.0,-999.0,-999,-999,0.8996717333134236,1
118,162.295375,51.03719444,-26.376416630751223,12.144141277611771,22.590868838143844,0.0282136491790764,22.878249233432825,0.0248211603274303,-999.0,-999.0,-999,-999,0.742199929963824,1
