,key,ra,dec,name,host,confirmed_real,confirmed_star_cluster,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_ep,ref_distance,apparent_magnitude_v,apparent_magnitude_v_em,apparent_magnitude_v_ep,ref_m_v,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_ul,ref_vlos,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,metallicity_spectroscopic,metallicity_spectroscopic_em,metallicity_spectroscopic_ep,metallicity_spectroscopic_sigma,metallicity_spectroscopic_sigma_em,metallicity_spectroscopic_sigma_ep,metallicity_spectroscopic_sigma_ul,ref_metallicity_spectroscopic,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,ref_structure_king,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,ref_structure_sersic,age,age_em,age_ep,ref_age,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,ref_metallicity_photometric,M_V,M_V_em,M_V_ep,mass_stellar,distance,distance_em,distance_ep,rhalf_physical,rhalf_sph_physical,surface_brightness_rhalf,metallicity,metallicity_em,metallicity_ep,metallicity_type,ll,bb,peri,peri16,peri50,peri84,apo,apo16,apo50,apo84,ecc,ecc16,ecc50,ecc84,fperi,fperi16,fperi50,fperi84,Lz,Lz16,Lz50,Lz84,E,E16,E50,E84
0,patchick_99,273.9458333,-29.81277778,Patchick 99,MW,0,0,1.87,,,,,,,,,,Garro2021A&A...649A..86G,14.13,0.13,0.13,Butler2024arXiv240113825B,8.82,,,Garro2021A&A...649A..86G,-92.0,10.0,10.0,,,,,Butler2024arXiv240113825B,-2.98,1.74,1.74,-5.49,2.02,2.02,Garro2021A&A...649A..86G,-0.75,0.3,0.3,,,,,Butler2024arXiv240113825B,1.2,,,10.0,,,Garro2021A&A...649A..86G,,,,,,,,10.0,2.0,2.0,Garro2021A&A...649A..86G,-0.2,0.2,0.2,Garro2021A&A...649A..86G,-5.3100000000000005,,,4.357029995663981,6.698846094165265,0.3892726493633356,0.41328904236803066,3.643910686658517,3.643910686658517,21.068451566589438,-0.75,0.3,0.3,spectroscopic,2.488526787698302,-6.14534267768156,0.14143777971976218,0.20165782307730346,0.3660972311825498,0.682836311836014,2709.6887832588754,1.4915030123036837,1.992230514592935,2.6635977630449754,0.9998956113348936,0.4635842772668104,0.6698425795423635,0.8611940137799983,0.0005206802623511634,0.49679932096416946,0.7851497754112318,0.912691488767877,-0.020393196007236013,-0.1148753333654898,-0.021918133725466638,0.055560742413373464,-0.19287522159596293,-0.19565746429899622,-0.18967339179565695,-0.18165550777205133
1,gran_1,269.651,-32.02,ESO 456-29,MW,1,1,0.86,0.04,0.04,,,,,,,,Gran2022MNRAS.509.4962G,14.5,,,Gran2022MNRAS.509.4962G,9.14,,,Gran2022MNRAS.509.4962G,76.98,3.62,3.62,,,,,Gran2024A&A...683A.167G,-8.1628,0.0377,0.0377,-8.0453,0.0364,0.0364,Vasiliev2021MNRAS.505.5978V,-1.13,0.06,0.06,,,,,Gran2024A&A...683A.167G,,,,,,,,,,,,,,,,,,,-1.19,,,Gran2022MNRAS.509.4962G,-5.359999999999999,,,4.377029995663981,7.943282347242813,,,1.9871221687073388,1.9871221687073388,19.701735959001294,-1.13,0.06,0.06,spectroscopic,358.76705586017647,-3.976656695175013,0.13143369643436048,0.1369514503148885,0.16191915307183477,0.20294274046341665,1.7300580801687229,1.6927119267989177,1.7338126267158422,1.772011342571147,0.8587867020565566,0.7907878276272459,0.8296932425032529,0.853812039600825,0.2817552088297976,0.247075859826145,0.26612131092439734,0.2783740046655946,0.03019659987269076,0.029586125131886114,0.0302078021520569,0.03084310768950843,-0.1895284068617777,-0.18992696438178788,-0.1895092389959495,-0.1891073871789483
2,fsr_1776,268.5595,-36.1524,FSR 1776,MW,1,1,,,,,,,,,,,Minniti2017RNAAS...1...16M,14.3,,,Dias2022A&A...657A..67D,,,,,-103.7,0.4,0.4,,,,,Dias2022A&A...657A..67D,-2.3,1.1,1.1,-2.6,0.8,0.8,Dias2022A&A...657A..67D,0.02,0.01,0.01,0.14,,,,Dias2022A&A...657A..67D,,,,,,,,,,,,,,,10.0,1.0,1.0,Dias2022A&A...657A..67D,0.2,0.2,0.2,Dias2022A&A...657A..67D,,,,,7.244359600749906,,,,,,0.02,0.01,0.01,spectroscopic,354.7200535319854,-5.250039778602263,1.072027337360249,1.0026498481933341,1.0621642490869394,1.091665040558387,1.4575542071169265,1.3194042167758695,1.4795578677672725,1.8914841600837888,0.15240736974793193,0.11515085542466544,0.16828694218139356,0.300965699701894,0.44554856724076564,0.26351810176568313,0.4186703159142455,0.7179278236407465,-0.17285181017435605,-0.19824939258445415,-0.1722784331059951,-0.1496812427179912,-0.18844416648517456,-0.19084747889015166,-0.18761198245893007,-0.18376420523328948
3,patchick_122,145.6279167,-52.42805556,Patchick 122,MW,1,1,,,,,,,,,,,,13.72,0.05,0.05,Garro2022A&A...659A.155G,,,,,98.68,3.43,3.43,,,,,Garro2023A&A...669A.136G,-3.72,0.12,0.12,3.81,0.12,0.12,Garro2022A&A...659A.155G,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5,0.2,0.2,Garro2022A&A...659A.155G,,,,,5.546257129579111,0.12624822556287274,0.12918892450636665,,,,-0.5,0.2,0.2,photometric,276.3397854947339,0.40623323083114626,4.724579752711407,4.532136143104361,4.7392688386291155,4.921439976711439,9.300690903724318,9.218789455122275,9.297720536907576,9.378929356835124,0.32627613848671694,0.3099835904080938,0.32483216212656796,0.34254702109211416,0.9818242834292341,0.975716417097985,0.9824851739099849,0.9877052573045285,-1.555344540422755,-1.5977344814243888,-1.5560618904110193,-1.5119309364926532,-0.09623600403250161,-0.09725709558423624,-0.09621016019978365,-0.09522311810629354
4,vvv_cl001,268.6770833,-24.01472222,VVV CL0001,MW,1,1,1.0,,,,,,,,,,Minniti2011A&A...527A..81M,14.58,,,OlivaresCarvajal2022MNRAS.513.3993O,8.03,0.5,0.5,Baumgardt2020PASA...37...46B,-324.9,0.8,0.8,,,,,OlivaresCarvajal2022MNRAS.513.3993O,-3.4875,0.1437,0.1437,-1.6523,0.1075,0.1075,Vasiliev2021MNRAS.505.5978V,-2.04,0.02,0.02,,,,,OlivaresCarvajal2022MNRAS.513.3993O,,,,,,,,,,,,,,,,,,,,,,,-6.550000000000001,0.5,0.5,4.853029995663982,8.241381150130021,,,2.397320599692766,2.397320599692766,18.91924368683472,-2.04,0.02,0.02,spectroscopic,5.267475110546731,0.7797326094471301,0.7865192204267466,0.7893033740850917,0.7919981097878332,0.7919981097878332,3.3715316219377938,3.327374281229897,3.3677116234298197,3.410374601046035,0.6216885025006188,0.6158590697591478,0.6194629528368294,0.6234464363242253,0.0021194828148151275,0.0,0.0,0.0010461337562009245,0.2500848453894705,0.24856402954711296,0.2500597227045732,0.25145764358044376,-0.16546765907140798,-0.16610415517222996,-0.16545489400043867,-0.16473678831053387
5,fsr_19,263.91,-21.07,FSR 19,MW,0,0,0.9,0.07,0.07,,,,,,,,Obasi2021A&A...654A..39O,14.29,0.08,0.08,Obasi2021A&A...654A..39O,9.67,,,Obasi2021A&A...654A..39O,,,,,,,,,-2.5,0.76,0.76,-5.02,0.47,0.47,Obasi2021A&A...654A..39O,,,,,,,,,1.32,0.17,0.17,2.54,0.23,0.23,Obasi2021A&A...654A..39O,,,,,,,,11.0,,,Obasi2021A&A...654A..39O,-0.5,,,Obasi2021A&A...654A..39O,-4.619999999999999,,,4.081029995663981,7.21107479182899,0.26083161594102755,0.27062021328254726,1.8878549658747084,1.8878549658747084,20.330456245668287,-0.5,,,photometric,5.498643206877241,6.070785725277691,,,,,,,,,,,,,,,,,,,,,,,,
6,fsr_1716,242.625,-53.7489,FSR 1716,MW,1,1,1.71,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.355,,,Baumgardt2021MNRAS.505.5957B,9.57,0.11,0.11,Baumgardt2020PASA...37...46B,-30.3,1.2,1.2,2.5,0.9,0.9,,Koch2017A&A...605A.128K,-4.3537,0.0334,0.0334,-8.8318,0.0312,0.0312,Vasiliev2021MNRAS.505.5978V,-1.38,0.2,0.2,,,,,Koch2017A&A...605A.128K,,,,,,,,,,,,,,,,,,,,,,,-4.785,0.11,0.11,4.147029995663981,7.430191378967013,,,3.695917153063756,3.695917153063756,21.624224120950025,-1.38,0.2,0.2,spectroscopic,329.778083417266,-1.592579615084796,2.1844938726783942,2.175441659690651,2.2002054226961234,2.2205512380856853,4.944664110646625,4.9148429094135135,4.934986264186669,4.955165181243404,0.3871663728625768,0.37923071302195116,0.3835109133327442,0.3880943696144043,0.6812376267984521,0.6760383816574489,0.6814111538193018,0.688981305648894,-0.6439728097249926,-0.6486107147880105,-0.6437137597967881,-0.6386661919531456,-0.13471473040619955,-0.13497578748863068,-0.1347209587451747,-0.13448212291214443
7,eso_93_sc08,169.925,-65.22,ESO 93-SC08,MW,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.0679,0.0329,0.0329,1.4002,0.0338,0.0338,Vasiliev2021MNRAS.505.5978V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.508181091989,-4.040437832136612,,,,,,,,,,,,,,,,,,,,,,,,
8,gaia_2,28.124,53.04,Gaia 2,MW,0,0,1.9,0.34,0.4,,,,0.18,0.12,0.2,,Koposov2017MNRAS.470.2702K,13.6,0.1,0.1,Koposov2017MNRAS.470.2702K,11.6,0.1,0.1,Koposov2017MNRAS.470.2702K,-54.36,3.76,3.76,,,,,Garro2023A&A...669A.136G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.0,2.0,Koposov2017MNRAS.470.2702K,-0.6,,,Koposov2017MNRAS.470.2702K,-2.0,0.1,0.1,3.0330299956639815,5.248074602497724,0.23620226622499896,0.24733413607851862,2.9005457381228004,2.6265558769485033,23.667546202501676,-0.6,,,photometric,132.14778089451616,-8.735721566866111,,,,,,,,,,,,,,,,,,,,,,,,
9,garro_2,271.475,-17.7,Garro 2,MW,0,0,1.58,0.47,0.44,,,,,,,,Garro2022A&A...662A..95G,13.74,0.31,0.31,Garro2022A&A...662A..95G,8.3,1.23,1.23,Garro2022A&A...662A..95G,,,,,,,,,-6.07,0.62,0.62,-6.15,0.75,0.75,Garro2022A&A...662A..95G,-1.3,0.2,,,,,,Garro2022A&A...662A..95G,1.25,0.27,0.27,7.13,3.83,3.83,Garro2022A&A...662A..95G,,,,,,,,12.0,2.0,2.0,Garro2022A&A...662A..95G,-1.3,0.2,0.2,Garro2022A&A...662A..95G,-5.4399999999999995,1.23,1.23,4.409029995663981,5.5975760149511045,0.7446910133298941,0.8589662753954519,2.5726647985777498,2.5726647985777498,20.182529029956733,-1.3,0.2,,spectroscopic,12.047776175166753,1.64609957979997,,,,,,,,,,,,,,,,,,,,,,,,
