# File generated by CMD 3.1 (http://stev.oapd.inaf.it/cmd) on Mon Jan 14 21:46:33 CET 2019
# isochrones PARSEC release v1.2S + COLIBRI release PR16, as in Marigo et al. 2017
# Basic reference: Marigo et al. (2017), ApJ, 835, 77
# Photometric system: SDSS <i>ugriz</i>
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# Kind of output: isochrone tables
 Zini  Age      Mini            Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag
0.00010 1.20e+10 0.1000000015    0.100 -2.780  3.5588  5.405    1  0.000  0.545     0.00     0.00 -1 -1.31e-16      0.00 7.453e-01 2.546e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.721 17.385 13.916 12.314 11.661 11.300
0.00010 1.20e+10 0.1098214313    0.109 -2.632  3.5741  5.357    1  0.000  0.545     0.00     0.00 -1 -1.86e-16      0.00 7.435e-01 2.564e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.349 16.496 13.335 11.837 11.254 10.926
0.00010 1.20e+10 0.1294642836    0.129 -2.390  3.5965  5.277    1  0.000  0.545     0.00     0.00 -1 -3.28e-16      0.00 7.405e-01 2.594e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.744 14.652 12.305 11.057 10.575 10.295
0.00010 1.20e+10 0.1491071582    0.149 -2.227  3.6079  5.221    1  0.000  0.545     0.00     0.00 -1 -4.75e-16      0.00 7.387e-01 2.612e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.990e-05 10.336 13.938 11.758 10.604 10.154 9.894
0.00010 1.20e+10 0.1687500030    0.168 -2.100  3.6152  5.176    1  0.000  0.545     0.00     0.00 -1 -6.29e-16      0.00 7.378e-01 2.621e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.990e-05 10.020 13.470 11.365 10.263 9.832 9.583
0.00010 1.20e+10 0.2080357224    0.207 -1.896  3.6261  5.108    1  0.000  0.545     0.00     0.00 -1 -9.79e-16      0.00 7.374e-01 2.625e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 9.511 12.738 10.741 9.717 9.313 9.082
0.00010 1.20e+10 0.2571428716    0.257 -1.708  3.6362  5.052    1  0.000  0.545     0.00     0.00 -1 -1.45e-15      0.00 7.377e-01 2.622e-01 1.798e-05 4.852e-06 4.400e-05 -1.000 9.996e-05 9.041 12.075 10.178 9.212 8.833 8.618
0.00010 1.20e+10 0.3062500358    0.306 -1.563  3.6446  5.017    1  0.000  0.545     0.00     0.00 -1 -1.93e-15      0.00 7.377e-01 2.622e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 9.996e-05 8.677 11.552 9.737 8.820 8.460 8.260
0.00010 1.20e+10 0.3553571403    0.355 -1.440  3.6525  4.991    1  0.000  0.544     0.00     0.00 -1 -2.45e-15      0.00 7.387e-01 2.612e-01 1.796e-05 4.853e-06 4.400e-05 -1.000 1.000e-04 8.371 11.097 9.360 8.487 8.146 7.959
0.00010 1.20e+10 0.4044643044    0.404 -1.319  3.6608  4.959    1  0.000  0.545     0.00     0.00 -1 -3.14e-15      0.00 7.500e-01 2.499e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 8.068 10.637 8.991 8.162 7.840 7.666
