,Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,u*mag,g'mag,r'mag,i'mag,z'mag,gr,r
0,0.00012351,-2.1,10.1,0.0969537795,1.1451443944,0.097,-2.908,3.5373,5.433,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-9.61e-17,0.0,0.7461,0.2538,2.346e-05,6.329e-06,5.74e-05,-1.0,0.0001305,12.039,17.621,14.403,12.669,11.93,11.518,1.734,30.599121911934873
1,0.00012351,-2.1,10.1,0.1044059321,1.2068909498,0.104,-2.74,3.5585,5.381,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.45e-16,0.0,0.7444,0.2555,2.346e-05,6.329e-06,5.74e-05,-1.0,0.0001305,11.619,16.408,13.654,12.072,11.481,11.14,1.5820000000000007,30.00212191193488
2,0.00012351,-2.1,10.1,0.106829606,1.2257493271,0.106,-2.688,3.5651,5.365,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.64e-16,0.0,0.7438,0.256,2.346e-05,6.329e-06,5.74e-05,-1.0,0.0001304,11.489,16.052,13.427,11.898,11.342,11.021,1.529,29.828121911934872
3,0.00012351,-2.1,10.1,0.1138739064,1.277546393,0.113,-2.591,3.5745,5.333,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-2.06e-16,0.0,0.7426,0.2572,2.346e-05,6.329e-06,5.74e-05,-1.0,0.0001304,11.246,15.503,13.051,11.6,11.088,10.791,1.4510000000000005,29.530121911934877
4,0.00012351,-2.1,10.1,0.1265812516,1.3612057335,0.126,-2.429,3.5901,5.281,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-3.01e-16,0.0,0.7406,0.2593,2.346e-05,6.329e-06,5.74e-05,-1.0,0.0001304,10.844,14.642,12.442,11.128,10.67,10.406,1.314,29.058121911934876
5,0.00012351,-2.1,10.1,0.1463329196,1.4716402749,0.146,-2.259,3.6025,5.223,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-4.3e-16,0.0,0.7386,0.2613,2.346e-05,6.329e-06,5.74e-05,-1.0,0.0001304,10.418,13.905,11.871,10.659,10.235,9.992,1.2119999999999997,28.589121911934875
6,0.00012351,-2.1,10.1,0.1660845578,1.5642192935,0.166,-2.127,3.6104,5.178,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-5.94e-16,0.0,0.7376,0.2623,2.346e-05,6.329e-06,5.74e-05,-1.0,0.0001304,10.088,13.386,11.451,10.302,9.898,9.668,1.149000000000001,28.232121911934875
7,0.00012351,-2.1,10.1,0.2055878639,1.7124988838,0.205,-1.919,3.6217,5.107,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-9.35e-16,0.0,0.7371,0.2628,2.346e-05,6.329e-06,5.74e-05,-1.0,0.0001305,9.567,12.62,10.811,9.744,9.368,9.155,1.0670000000000002,27.674121911934876
8,0.00012351,-2.1,10.1,0.2549669743,1.8527729435,0.255,-1.727,3.6321,5.051,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.39e-15,0.0,0.7374,0.2625,2.346e-05,6.33e-06,5.74e-05,-1.0,0.0001304,9.088,11.932,10.231,9.233,8.881,8.683,0.9979999999999993,27.16312191193488
9,0.00012351,-2.1,10.1,0.3043461442,1.9615366389,0.304,-1.579,3.6407,5.015,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.86e-15,0.0,0.7374,0.2625,2.345e-05,6.33e-06,5.74e-05,-1.0,0.0001304,8.718,11.399,9.781,8.837,8.504,8.319,0.9440000000000008,26.767121911934876
10,0.00012351,-2.1,10.1,0.3537252545,2.0494811596,0.354,-1.455,3.6487,4.989,1,0.0,0.544,0.0,0.0,0.0,0.0,0.0,-1,-2.36e-15,0.0,0.738,0.2619,2.343e-05,6.331e-06,5.74e-05,-1.0,0.0001305,8.408,10.946,9.403,8.505,8.188,8.014,0.8979999999999997,26.43512191193488
11,0.00012351,-2.1,10.1,0.373303026,2.0800375655,0.373,-1.404,3.6523,4.975,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-2.64e-15,0.0,0.743,0.2569,2.344e-05,6.33e-06,5.74e-05,-1.0,0.0001305,8.28,10.755,9.246,8.367,8.058,7.889,0.8789999999999996,26.297121911934877
12,0.00012351,-2.1,10.1,0.4031043649,2.1227581329,0.403,-1.331,3.6574,4.956,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-3.07e-15,0.0,0.7501,0.2498,2.346e-05,6.329e-06,5.74e-05,-1.0,0.0001304,8.098,10.485,9.023,8.172,7.873,7.711,0.8509999999999991,26.102121911934876
13,0.00012351,-2.1,10.1,0.4480571747,2.1799776797,0.448,-1.194,3.6703,4.916,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-4.19e-15,0.0,0.7507,0.2492,2.346e-05,6.329e-06,5.74e-05,-1.0,0.0001304,7.754,9.922,8.582,7.798,7.524,7.38,0.7840000000000007,25.728121911934878
14,0.00012351,-2.1,10.1,0.4524834752,2.1852063413,0.452,-1.181,3.6715,4.912,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-4.31e-15,0.0,0.7507,0.2492,2.346e-05,6.329e-06,5.74e-05,-1.0,0.0001305,7.722,9.871,8.542,7.764,7.492,7.349,0.7779999999999996,25.694121911934875
15,0.00012351,-2.1,10.1,0.5018626451,2.2393660826,0.502,-1.012,3.6874,4.853,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-6.46e-15,0.0,0.7521,0.2478,2.337e-05,6.305e-06,5.718e-05,-1.0,0.0001304,7.301,9.2,8.015,7.313,7.072,6.948,0.7020000000000008,25.243121911934875
16,0.00012351,-2.1,10.1,0.5512417555,2.2846836818,0.551,-0.807,3.7073,4.767,1,0.0,0.544,0.0,0.0,0.0,0.0,0.0,-1,-1.09e-14,0.0,0.7866,0.2133,2.03e-05,5.48e-06,4.973e-05,-1.0,9.792e-05,6.788,8.407,7.388,6.776,6.569,6.469,0.6120000000000001,24.706121911934876
