# X_606 Y_606 MAG_dp_606 ERR_dp_606 CHI_606 SHARP_606 STMAG_606 RA_606 DEC_606 X_814 Y_814 MAG_dp_814 ERR_dp_814 CHI_814 SHARP_814 STMAG_814 RA_814 DEC_814 ERR_606 ERR_814 sgFlag_606 sgFlag_814 sgXFlag
30.314 17.081 16.315 0.07 1.789 0.509 27.0032 162.3293 51.0966 32.546 14.101 16.588 0.0745 1.623 0.642 27.3661 162.3294 51.0966 0.032 0.0386 0 0 0.0
956.447 34.445 17.849 0.2379 1.853 -1.651 28.5372 162.3409 51.0913 957.247 32.491 16.192 0.5064 4.847 0.367 26.9701 162.3409 51.0913 0.0809 0.0307 0 0 0.0
1158.803 73.898 15.0 0.0723 4.115 0.953 25.6882 162.3431 51.0898 1160.874 70.986 15.536 0.0772 3.358 0.97 26.3141 162.3431 51.0898 0.0144 0.021 0 0 0.0
2122.14 75.784 16.454 0.1222 3.089 1.432 27.1422 162.3552 51.0844 2123.687 72.926 16.204 0.1189 3.544 1.438 26.9821 162.3552 51.0844 0.0348 0.0309 0 0 0.0
1163.953 76.685 15.865 0.1058 3.555 1.139 26.5532 162.3431 51.0898 1165.723 73.422 16.284 0.1027 2.648 1.281 27.0621 162.3431 51.0898 0.0244 0.0323 0 0 0.0
2141.6 82.94 16.038 0.0825 2.703 1.14 26.7262 162.3554 51.0842 2143.448 79.846 16.434 0.0846 2.121 0.966 27.2121 162.3554 51.0842 0.027 0.0353 0 0 0.0
2143.718 86.769 17.065 0.0804 1.187 0.675 27.7532 162.3554 51.0842 2145.643 83.947 17.198 0.0833 1.107 0.514 27.9761 162.3554 51.0842 0.0504 0.0551 0 1 0.8
151.81 97.32 14.239 0.0805 6.01 1.052 24.9272 162.3302 51.0953 153.846 94.493 14.761 0.0994 6.396 1.355 25.5391 162.3302 51.0953 0.0091 0.0135 0 0 0.0
2020.469 100.548 17.073 0.0696 1.035 0.555 27.7612 162.3537 51.0848 2022.327 97.609 17.257 0.087 1.148 0.617 28.0351 162.3537 51.0848 0.0506 0.057 1 1 1.0
67.899 101.847 15.368 0.0673 3.089 0.525 26.0562 162.3291 51.0957 69.896 98.807 15.98 0.081 2.701 0.91 26.7581 162.3291 51.0957 0.018 0.0271 0 0 0.0
3698.474 121.197 16.962 0.0802 1.366 0.909 27.6502 162.3747 51.0752 3700.468 118.359 17.114 0.09 1.334 0.768 27.8921 162.3747 51.0752 0.0473 0.0525 0 0 0.1
1212.131 128.892 14.566 0.0326 2.132 0.122 25.2542 162.3433 51.0891 1214.173 125.898 14.709 0.02 1.109 0.004 25.4871 162.3433 51.0891 0.0111 0.0131 1 1 1.0
1931.322 139.268 17.381 0.1196 1.417 -0.836 28.0692 162.3523 51.085 1932.116 137.794 17.032 0.1551 2.627 0.539 27.8101 162.3522 51.085 0.061 0.05 0 0 0.0
4046.571 140.623 16.334 0.0411 1.062 0.236 27.0222 162.379 51.0731 4048.655 137.54 16.089 0.0262 0.702 -0.004 26.8671 162.379 51.0731 0.0324 0.0289 1 1 1.0
2917.527 141.135 17.246 0.0819 1.121 0.61 27.9342 162.3647 51.0794 2919.854 138.346 17.524 0.0637 0.601 0.153 28.3021 162.3647 51.0794 0.0562 0.0667 1 1 1.0
4958.92 152.463 17.046 0.0629 0.951 0.229 27.7342 162.3904 51.0678 4961.147 149.587 16.821 0.0426 0.71 0.189 27.5991 162.3904 51.0678 0.0498 0.0442 1 1 1.0
3126.684 163.577 18.313 0.1945 1.128 -1.001 29.0012 162.3671 51.078 3128.225 160.365 18.119 0.1754 1.183 0.012 28.8971 162.3671 51.0781 0.1072 0.0946 1 1 1.0
2156.776 170.372 16.386 0.0763 1.934 0.736 27.0742 162.3548 51.0834 2158.683 167.489 16.373 0.1064 2.81 1.119 27.1511 162.3548 51.0834 0.0334 0.0341 0 0 0.0
1236.922 182.289 15.263 0.091 4.509 1.15 25.9512 162.3431 51.0885 1238.888 179.257 15.715 0.1024 4.1 1.347 26.4931 162.3431 51.0885 0.0169 0.0233 0 0 0.0
5394.179 196.095 16.055 0.0945 3.146 1.303 26.7432 162.3955 51.065 5396.232 192.902 16.414 0.1059 2.766 1.215 27.1921 162.3955 51.065 0.0273 0.0349 0 0 0.0
2261.686 197.498 16.7 0.0939 1.95 0.968 27.3882 162.3559 51.0826 2263.841 194.677 16.932 0.0888 1.537 0.709 27.7101 162.3559 51.0826 0.0404 0.0472 0 0 0.0
3589.611 201.091 16.419 0.0859 2.202 1.029 27.1072 162.3727 51.0751 3591.395 198.301 16.227 0.1265 3.666 1.368 27.0051 162.3726 51.0751 0.0341 0.0313 0 0 0.0
3835.318 203.814 16.703 0.0519 1.042 0.115 27.3912 162.3757 51.0737 3837.36 200.872 16.352 0.0278 0.602 0.122 27.1301 162.3757 51.0737 0.0404 0.0336 1 1 1.0
5400.063 204.9 16.861 0.1153 2.081 1.402 27.5492 162.3955 51.0649 5401.836 201.1 17.158 0.0919 1.237 0.872 27.9361 162.3955 51.0649 0.0445 0.0538 0 0 0.0
4254.67 205.822 15.962 0.0393 1.314 0.196 26.6502 162.381 51.0714 4256.717 202.717 15.804 0.0282 0.945 0.051 26.5821 162.381 51.0714 0.0258 0.0245 1 1 1.0
